stimulus_id,image_file,original_filename,original_relative_path,original_style_folder,condition_congruent,condition_semi_congruent,condition_incongruent,condition_congruent_en,condition_semi_congruent_en,condition_incongruent_en,notes,needs_human_review
034,034.jpg,mother_and_child_on_the_beach_0214.jpg,expressionism/mother_and_child_on_the_beach_0214.jpg,expressionism,Eine verhüllte Figur steht mit einem Kind am Strand oder Wasser. Die dunkle Umhüllung bildet eine starke senkrechte Form.,Eine verhüllte Figur steht mit einer kleineren Form in einer offenen Umgebung. Die dunkle Hülle bildet eine starke senkrechte Form.,"Eine helle Figur mit Kind steht in einem engen Innenraum. Die dunkle Umhüllung ist klein, und Wasser oder Strand wirken kaum erkennbar.",A veiled figure stands with a child by a beach or water. The dark covering forms a strong vertical shape.,A veiled figure stands with a smaller form in an open setting. The dark covering forms a strong vertical shape.,"A light figure with a child stands in a narrow interior. The dark covering is small, and water or beach is barely recognizable.",image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
035,035.jpg,night_0017.jpg,expressionism/night_0017.jpg,expressionism,Ein dunkler Raum mit Fenster zeigt helle Lichtstreifen auf Wand und Boden. Die Komposition ist ruhig und fast leer.,Ein dunkler Raum mit heller Öffnung zeigt Lichtstreifen auf Boden und Wand. Die Komposition ist ruhig und fast leer.,"Ein heller Raum mit breiter Türöffnung zeigt starke Figuren im Vordergrund. Die Lichtstreifen liegen oben, während Boden und Wand kaum dunkel sind.",A dark room with a window shows light stripes on wall and floor. The composition is calm and almost empty.,A dark room with a light opening shows light stripes on floor and wall. The composition is calm and almost empty.,"A bright room with a wide doorway shows strong figures in the foreground. The light stripes lie above, while floor and wall are hardly dark.",image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
036,036.jpg,old_fisherman_0239.jpg,expressionism/old_fisherman_0239.jpg,expressionism,"Ein alter Mann mit Hut und Bart hält die Hände vor der Brust. Gesicht, Mantel und ruhiger Hintergrund sind klar getrennt.",Eine ältere kopfähnliche Figur mit dunklem Hut hält die Hände vor der Brust. Gesicht und Kleidung sind klar getrennt.,"Ein alter Mann ohne Hut sitzt seitlich und hält eine helle Fläche im Schoß. Bart und Hände sind wenig betont, der Hintergrund wirkt unruhig.","An old man with hat and beard holds his hands before his chest. Face, coat, and calm background are clearly separated.",An older head-like figure with a dark hat holds the hands before the chest. Face and clothing are clearly separated.,"An old man without a hat sits sideways and holds a light area in his lap. Beard and hands are weakly emphasized, and the background looks restless.",image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
037,037.jpg,peat_digging_0251.jpg,expressionism/peat_digging_0251.jpg,expressionism,"Ein Bach oder Wasserlauf zieht durch eine grüne Landschaft. Dunkle Ufer, helle Wasserfläche und Himmel bilden gestaffelte Bereiche.",Eine helle Wasserform zieht durch eine grüne Landschaft. Dunkle Ufer und helle Fläche bilden gestaffelte Bereiche.,Ein schmaler Wasserlauf liegt fast waagerecht in einer offenen gelben Landschaft. Grüne Ufer fehlen weitgehend und die Tiefe bleibt flach.,"A stream or watercourse runs through a green landscape. Dark banks, light water surface, and sky form layered areas.",A light water form runs through a green landscape. Dark banks and light surface form layered areas.,A narrow watercourse lies almost horizontally in an open yellow landscape. Green banks are mostly absent and the depth remains flat.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
038,038.jpg,radiant_sunset_0262.jpg,expressionism/radiant_sunset_0262.jpg,expressionism,"Eine helle Sonne steht tief über einem farbigen Feld. Strahlen, Weglinien und dunkle Baumformen führen zur Mitte.",Eine helle runde Form steht tief über einem farbigen Feld. Linien und dunkle Formen führen zur Mitte.,"Eine kleine helle Sonne steht hoch am Rand über einem kühlen blauen Feld. Die Strahlen sind kurz, und die Linien führen nicht zur Bildmitte.","A bright sun stands low above a colorful field. Rays, path lines, and dark tree forms lead toward the center.",A bright round form stands low above a colorful field. Lines and dark forms lead toward the center.,A small bright sun stands high at the edge above a cool blue field. The rays are short and the lines do not lead toward the image center.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
039,039.jpg,separation_0085.jpg,expressionism/separation_0085.jpg,expressionism,Eine dunkle Figur steht neben einer hellen geisterhaften Frau und roten Blumen. Die Formen liegen vor einem bewegten Hintergrund.,Eine dunkle Figur steht neben einer hellen figurenartigen Form und roten Bereichen. Die Formen liegen vor einem bewegten Hintergrund.,Zwei helle Figuren stehen getrennt vor ruhigem dunklem Hintergrund. Rote Blumen und bewegte Formen sind nur klein am Rand sichtbar.,A dark figure stands beside a light ghostly woman and red flowers. The forms lie before a moving background.,A dark figure stands beside a light figure-like form and red areas. The forms lie before a moving background.,Two light figures stand separately before a calm dark background. Red flowers and moving forms are only small at the edge.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
040,040.jpg,skeletons_fighting_over_a_pickled_herring_0031.jpg,expressionism/skeletons_fighting_over_a_pickled_herring_0031.jpg,expressionism,"Zwei Totenköpfe berühren sich wie in einem Gespräch. Die Schädel, dunkle Kleidung und rosa Himmel sind deutlich getrennt.","Zwei helle kopfähnliche Formen berühren sich vor rosa Himmel. Helle Schädel, dunkle Kleidung und Hintergrund sind deutlich getrennt.",Drei helle Totenköpfe stehen nebeneinander mit Abstand vor dunklem Himmel. Die Schädel berühren sich nicht und die Kleidung ist kaum sichtbar.,"Two skulls touch as if in conversation. The skulls, dark clothing, and pink sky are clearly separated.","Two light head-like forms touch before a pink sky. Light skulls, dark clothing, and background are clearly separated.",Three light skulls stand side by side with distance before a dark sky. The skulls do not touch and the clothing is barely visible.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
041,041.jpg,the_family_of_blind_man_0291.jpg,expressionism/the_family_of_blind_man_0291.jpg,expressionism,"Eine blau gezeichnete Figur bewegt sich mit einem kleinen Hund vor hellem Grund. Körper, Tier und Boden sind locker skizziert.","Eine blau gezeichnete Figur steht mit einer kleineren Form vor hellem Grund. Körper, kleine Form und Boden sind locker skizziert.",Eine blaue Figur sitzt ruhig ohne erkennbare kleine Begleitform vor dunklem Grund. Körper und Boden sind dicht ausgearbeitet statt locker skizziert.,"A blue-drawn figure moves with a small dog before a light ground. Body, animal, and floor are loosely sketched.","A blue-drawn figure stands with a smaller form before a light ground. Body, small form, and floor are loosely sketched.",A blue figure sits quietly without a recognizable small companion before a dark ground. Body and floor are densely worked rather than loosely sketched.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
042,042.jpg,candidate_030_surrealism_meliboeus.jpg,candidate_images/chosen/candidate_030_surrealism_meliboeus.jpg,surrealism,"Ein Gesicht mit Kopftuch füllt das Bild und ist von dunklen Linien überzogen. Augen, Mund und Tuch liegen eng beieinander.","Eine große kopfähnliche Form füllt das Bild und ist von dunklen Linien überzogen. Augen, Mund und Hülle liegen eng beieinander.","Ein kleines Gesicht mit offenem Haar liegt tief links im Bild. Tuch und dunkle Linien fehlen weitgehend, und die Gesichtsteile sind weit getrennt.","A face with a headscarf fills the image and is covered by dark lines. Eyes, mouth, and cloth lie close together.","A large head-like form fills the image and is covered by dark lines. Eyes, mouth, and covering lie close together.","A small face with loose hair lies low on the left. Cloth and dark lines are mostly absent, and the facial parts are far apart.",image_type=surrealism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low,False
043,043.jpg,woman_with_dead_child_0295.jpg,expressionism/woman_with_dead_child_0295.jpg,expressionism,Eine liegende Figur stützt den Kopf auf den Arm. Der Körper ist in dunklen Linien gezeichnet und liegt kompakt auf hellem Grund.,Eine liegende figurenartige Form stützt den oberen Bereich auf den Arm. Der Körper liegt kompakt auf hellem Grund.,"Eine stehende Figur hält den Kopf frei über dem Körper. Der Arm stützt nichts, und die Figur wirkt lang statt kompakt liegend.",A reclining figure supports the head on the arm. The body is drawn in dark lines and lies compactly on a light ground.,A reclining figure-like form supports the upper part on the arm. The body lies compactly on a light ground.,"A standing figure holds the head freely above the body. The arm supports nothing, and the figure looks long rather than compactly reclining.",image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
044,044.jpg,candidate_030_surrealism_trois_masques_1933.jpg,candidate_images/chosen/candidate_030_surrealism_trois_masques_1933.jpg,surrealism,Drei maskenartige Gesichter stehen vor blauem Hintergrund. Ein helles mittleres Gesicht wird von zwei orangefarbenen Profilen gerahmt.,Drei gesichtsähnliche Formen stehen vor blauem Hintergrund. Eine helle mittlere Form wird von zwei orangefarbenen Formen gerahmt.,"Zwei maskenartige Gesichter stehen vor grünem Hintergrund. Das helle Gesicht liegt seitlich, und eine mittlere Rahmung durch Profile fehlt.",Three mask-like faces stand before a blue background. A light central face is framed by two orange profiles.,Three face-like forms stand before a blue background. A light central form is framed by two orange forms.,"Two mask-like faces stand before a green background. The light face lies to the side, and central framing by profiles is missing.",image_type=surrealism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low,False
045,045.jpg,chicken_wire_0298.jpg,minimalism/chicken_wire_0298.jpg,minimalism,Ein regelmäßiges Netz aus sechseckigen Linien füllt die helle Fläche. Die Muster wiederholen sich fast über das ganze Bild.,Ein regelmäßiges Netz aus kantigen Linien füllt eine helle Fläche. Die Muster wiederholen sich fast über das ganze Bild.,Ein unregelmäßiges Netz aus runden Linien liegt nur in der unteren Bildhälfte. Große leere Flächen unterbrechen das Muster deutlich.,A regular net of hexagonal lines fills the light surface. The patterns repeat across almost the whole image.,A regular net of angular lines fills a light surface. The patterns repeat across almost the whole image.,An irregular net of round lines lies only in the lower half of the image. Large empty areas clearly interrupt the pattern.,image_type=minimalism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
046,046.jpg,d1_6_0207.jpg,minimalism/d1_6_0207.jpg,minimalism,Ein großer schwarzer Kreis schwebt über einer dunklen kopfähnlichen Silhouette. Heller Grund trennt beide Formen deutlich.,Eine große schwarze runde Form schwebt über einer dunklen unteren Form. Heller Grund trennt beide Formen deutlich.,"Ein schwarzer Kreis liegt tief unten und berührt eine helle Silhouette. Der Grund ist dunkel, und die beiden Formen sind kaum getrennt.",A large black circle floats above a dark head-like silhouette. Light ground clearly separates both forms.,A large black round form floats above a dark lower form. Light ground clearly separates both forms.,"A black circle lies low and touches a light silhouette. The ground is dark, and the two forms are barely separated.",image_type=minimalism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
047,047.jpg,sex_symbol_0190.jpg,minimalism/sex_symbol_0190.jpg,minimalism,Ein schwarzer Kreis steht unter einem gebogenen blauen Bogen. Kleine Linien unten und eine helle Mittelachse ergänzen die Form.,Eine schwarze runde Form steht unter einem gebogenen blauen Bogen. Kleine Linien und eine helle Mittelachse ergänzen die Form.,"Ein schwarzer Kreis steht neben einem geraden roten Balken. Der blaue Bogen fehlt fast, und die kleinen unteren Linien liegen weit verstreut.",A black circle stands below a curved blue arch. Small lines below and a light central axis complete the form.,A black round form stands below a curved blue arch. Small lines and a light central axis complete the form.,"A black circle stands beside a straight red bar. The blue arch is almost missing, and the small lower lines are widely scattered.",image_type=minimalism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
048,048.jpg,split_ring_image_1_2009_0041.jpg,minimalism/split_ring_image_1_2009_0041.jpg,minimalism,Ein farbiger Ring aus gelben und roten Segmenten umgibt eine weiße Mitte. Die runden Segmente sind klar voneinander getrennt.,Ein farbiger Ring aus hellen und roten Segmenten umgibt eine weiße Mitte. Die runden Segmente sind klar getrennt.,Ein offener Halbkreis aus blauen und grünen Segmenten liegt um eine dunkle Mitte. Die runden Segmente sind ungleichmäßig und unten unterbrochen.,A colored ring of yellow and red segments surrounds a white center. The round segments are clearly separated.,A colored ring of light and red segments surrounds a white center. The round segments are clearly separated.,An open semicircle of blue and green segments lies around a dark center. The round segments are uneven and interrupted at the bottom.,image_type=minimalism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
049,049.jpg,candidate_044_realism_landscape_with_a_flowerbed_1917.jpg,candidate_images/chosen/candidate_044_realism_landscape_with_a_flowerbed_1917.jpg,realism,"Ein heller Garten mit Blumenbeet, Bäumen und Wiese füllt das Bild. Blüten, Wege und Baumgruppen bilden viele kleine Bereiche.","Eine helle Außenfläche mit Blumen, Bäumen und Wiese füllt das Bild. Farbige Flecken und grüne Gruppen bilden viele Bereiche.","Ein dunkler Garten mit wenigen großen Bäumen füllt das Bild. Blumenbeet und Wege liegen kaum sichtbar, und die Fläche wirkt leer und flach.","A bright garden with flowerbed, trees, and lawn fills the image. Blossoms, paths, and tree groups form many small areas.","A bright outdoor surface with flowers, trees, and lawn fills the image. Colored spots and green groups form many areas.","A dark garden with a few large trees fills the image. Flowerbed and paths are barely visible, and the surface looks empty and flat.",image_type=realism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low,False
050,050.jpg,a_panic_in_the_middle_ages_0264.jpg,surrealism/a_panic_in_the_middle_ages_0264.jpg,surrealism,"Weiße akrobatische Figuren bewegen sich in einem Raum mit roter Wand. Körper, Beine und dunkle Schatten bilden starke Diagonalen.",Weiße figurenartige Formen bewegen sich in einem Raum mit roter Wand. Körperlinien und dunkle Schatten bilden starke Diagonalen.,Dunkle akrobatische Figuren stehen aufrecht vor einer blauen Wand. Die Körper bilden kaum Diagonalen und die rote Raumfläche fehlt.,"White acrobatic figures move in a room with a red wall. Bodies, legs, and dark shadows form strong diagonals.",White figure-like forms move in a room with a red wall. Body lines and dark shadows form strong diagonals.,Dark acrobatic figures stand upright before a blue wall. The bodies form hardly any diagonals and the red room area is absent.,image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
051,051.jpg,candidate_050_impressionism_the_blue_vase.jpg,candidate_images/chosen/candidate_050_impressionism_the_blue_vase.jpg,impressionism,"Eine blaue Vase mit gelben Blumen steht auf einem braunen Tisch. Vase, Blüten und helle Frucht sind klar voneinander getrennt.","Ein blaues Gefäß mit gelben oberen Formen steht auf einem braunen Tisch. Gefäß, obere Formen und helle runde Form sind klar getrennt.","Eine schmale grüne Vase mit roten Blumen steht auf hellem Tisch. Die gelben Blüten fehlen, und die helle Frucht liegt oben statt unten.","A blue vase with yellow flowers stands on a brown table. Vase, blossoms, and light fruit are clearly separated.","A blue vessel with yellow upper forms stands on a brown table. Vessel, upper forms, and light round form are clearly separated.","A narrow green vase with red flowers stands on a light table. The yellow blossoms are missing, and the light fruit lies above rather than below.",image_type=impressionism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low,False
052,052.jpg,before_the_snow_0016.jpg,surrealism/before_the_snow_0016.jpg,surrealism,Eine helle rosa Blüte schwebt vor dunklem Grund mit rosa Wolken. Der Blütenkörper sitzt über einer waagerechten roten Linie.,Eine helle rosa Form schwebt vor dunklem Grund mit rosa Bereichen. Die zentrale Form sitzt über einer waagerechten Linie.,Eine dunkle rote Blüte liegt tief unten vor hellem Grund. Die rosa Wolken fehlen weitgehend und die waagerechte Linie sitzt oben.,A light pink blossom floats before a dark ground with pink clouds. The flower body sits above a horizontal red line.,A light pink form floats before a dark ground with pink areas. The central form sits above a horizontal line.,A dark red blossom lies low before a light ground. The pink clouds are mostly absent and the horizontal line sits above.,image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
053,053.jpg,checkmate_0209.jpg,surrealism/checkmate_0209.jpg,surrealism,Ein Gesicht erscheint unten rechts vor einem schwarz-weißen Schachboden. Ein dunkler Raum und helle Rauchformen ziehen nach hinten.,Eine kopfähnliche Form erscheint unten rechts vor einem schwarz-weißen Boden. Dunkler Raum und helle Formen ziehen nach hinten.,Ein Gesicht erscheint oben links neben einem gleichmäßigen grauen Boden. Schachmuster und helle Rauchformen sind kaum erkennbar.,A face appears at the lower right before a black-and-white chessboard. A dark room and light smoke forms recede backward.,A head-like form appears at the lower right before a black-and-white floor. A dark room and light forms recede backward.,A face appears at the upper left beside an even gray floor. The chess pattern and light smoke forms are barely recognizable.,image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
054,054.jpg,composition_0297.jpg,surrealism/composition_0297.jpg,surrealism,"Auf blauem Grund liegen eine schwarze schräge Fläche, eine weiße vogelartige Form und gelbe Farbspuren. Die Elemente schweben getrennt.","Auf blauem Grund liegen eine dunkle schräge Fläche, eine helle Form und gelbe Farbspuren. Die Elemente schweben getrennt.","Auf blauem Grund liegt eine große weiße Form flach am unteren Rand. Gelbe Spuren sammeln sich links, und die schwarze Schräge fehlt fast.","On blue ground lie a black diagonal area, a white bird-like form, and yellow color traces. The elements float separately.","On blue ground lie a dark diagonal area, a light form, and yellow color traces. The elements float separately.","On blue ground, a large white form lies flat at the lower edge. Yellow traces gather on the left, and the black diagonal is almost missing.",image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
055,055.jpg,dance_0182.jpg,surrealism/dance_0182.jpg,surrealism,"Eine bunte körperartige Figur steht auf gelbbraunem Grund. Blau, Rot, Grau und Schwarz bilden große klar getrennte Flächen.","Eine bunte figurenartige Form steht auf gelbbraunem Grund. Blau, Rot, Grau und Schwarz bilden große klar getrennte Flächen.",Eine kleine bunte Figur liegt waagerecht auf hellem gelbem Grund. Die großen Farbflächen sind weich gemischt und nicht klar getrennt.,"A colorful body-like figure stands on a yellow-brown ground. Blue, red, gray, and black form large clearly separated areas.","A colorful figure-like form stands on a yellow-brown ground. Blue, red, gray, and black form large clearly separated areas.",A small colorful figure lies horizontally on a light yellow ground. The large color areas are softly mixed and not clearly separated.,image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
056,056.jpg,eve_the_only_one_left_to_us_0171.jpg,surrealism/eve_the_only_one_left_to_us_0171.jpg,surrealism,Ein grauer Hinterkopf oder eine verhüllte Büste steht vor dunkler Wand. Die helle geflochtene Fläche fällt über den Kopf.,Eine graue kopfähnliche Form steht vor dunkler Wand. Die helle strukturierte Fläche fällt über den oberen Bereich.,Ein frontal sichtbares Gesicht mit offener Stirn steht vor hellem Hintergrund. Die geflochtene helle Fläche liegt seitlich und bedeckt den Kopf kaum.,A gray back of a head or veiled bust stands before a dark wall. The light braided surface falls over the head.,A gray head-like form stands before a dark wall. The light textured surface falls over the upper area.,A frontal face with an open forehead stands before a light background. The light braided surface lies to the side and barely covers the head.,image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
057,057.jpg,candidate_061_expressionism_still_life_with_sunflower_1931.jpg,candidate_images/chosen/candidate_061_expressionism_still_life_with_sunflower_1931.jpg,expressionism,"Eine Sonnenblume steht in einer hellen Vase vor grauem Hintergrund. Blüte, Blätter und Gefäß sind zentral angeordnet.",Eine große gelbe runde Form steht über einem hellen Gefäß vor grauem Hintergrund. Blätter und Gefäß sind zentral angeordnet.,Eine kleine gelbe Blüte steht neben einer dunklen Vase vor blauem Hintergrund. Gefäß und Blätter liegen weit auseinander und nicht zentral.,"A sunflower stands in a light vase before a gray background. Blossom, leaves, and vessel are centrally arranged.",A large yellow round form stands above a light vessel before a gray background. Leaves and vessel are centrally arranged.,A small yellow blossom stands beside a dark vase before a blue background. Vessel and leaves lie far apart and not centrally.,image_type=expressionism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low,False
058,058.jpg,habitantes_del_silencio_2_0139.jpg,surrealism/habitantes_del_silencio_2_0139.jpg,surrealism,"Ein dunkles Stillleben mit Tierkopf, hellen Knochen und blauen Hintergrundflächen füllt das Bild. Die Formen wirken eng verschachtelt.",Ein dunkles Stillleben mit hellem kleinen Element und blauen Hintergrundflächen füllt das Bild. Die Formen wirken eng verschachtelt.,Ein helles Stillleben mit klaren Knochen liegt vor warmem braunem Grund. Die blauen Flächen fehlen fast und die Formen sind locker verteilt.,"A dark still life with animal head, light bones, and blue background areas fills the image. The forms seem tightly interwoven.",A dark still life with a small light element and blue background areas fills the image. The forms seem tightly interwoven.,A light still life with clear bones lies before a warm brown ground. The blue areas are almost absent and the forms are loosely spread.,image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
059,059.jpg,candidate_063_expressionism_still_life_1964.jpg,candidate_images/chosen/candidate_063_expressionism_still_life_1964.jpg,expressionism,"Kanne, Flaschen, Tassen und Teller stehen auf einem Tisch vor orangefarbener Wand. Die Gegenstände sind mit dunklen Linien umrissen.",Mehrere Gefäße und runde Formen stehen auf einem Tisch vor orangefarbener Wand. Die Gegenstände sind mit dunklen Linien umrissen.,"Nur zwei große Gefäße stehen auf einem kühlen blauen Tisch vor grauer Wand. Tassen und Teller fehlen, und die dunklen Umrisse sind schwach.","Jug, bottles, cups, and plates stand on a table before an orange wall. The objects are outlined with dark lines.",Several vessels and round forms stand on a table before an orange wall. The objects are outlined with dark lines.,"Only two large vessels stand on a cool blue table before a gray wall. Cups and plates are missing, and the dark outlines are weak.",image_type=expressionism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low,False
060,060.jpg,leaf_customs_0172.jpg,surrealism/leaf_customs_0172.jpg,surrealism,Ein einzelnes langes Blatt liegt senkrecht auf hellem strukturiertem Grund. Blattadern und Rand sind deutlich gezeichnet.,Eine einzelne lange helle Form liegt senkrecht auf strukturiertem Grund. Innenlinien und Rand sind deutlich gezeichnet.,"Ein kurzes rundes Blatt liegt waagerecht auf dunklem glattem Grund. Blattadern fehlen fast, und die Form sitzt nahe am unteren Rand.",A single long leaf lies vertically on a light textured ground. Leaf veins and edge are clearly drawn.,A single long light form lies vertically on a textured ground. Inner lines and edge are clearly drawn.,"A short round leaf lies horizontally on a dark smooth ground. Leaf veins are almost absent, and the form sits near the lower edge.",image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
061,061.jpg,one_night_museum_0269.jpg,surrealism/one_night_museum_0269.jpg,surrealism,"Vier Regalfächer zeigen eine Hand, eine Frucht, einen Schuh und ein Musterfeld. Die Gegenstände liegen getrennt in klaren Feldern.",Vier rechteckige Felder zeigen einzelne Formen und ein Musterfeld. Die Gegenstände liegen getrennt in klaren Bereichen.,Drei offene Regalfächer zeigen ähnliche runde Formen ohne deutliches Musterfeld. Die Gegenstände überschneiden sich zwischen den Feldern.,"Four shelf compartments show a hand, a fruit, a shoe, and a patterned field. The objects lie separately in clear fields.",Four rectangular fields show individual forms and a patterned field. The objects lie separately in clear areas.,Three open shelf compartments show similar round forms without a clear patterned field. The objects overlap between the compartments.,image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
062,062.jpg,pieta_revolution_by_night_0080.jpg,surrealism/pieta_revolution_by_night_0080.jpg,surrealism,"Zwei Figuren sitzen oder stehen in einem braunen Innenraum, daneben ein kleiner weißer Vogel. Rote Hose und dunkler Mann fallen auf.","Zwei figurenartige Formen befinden sich in einem braunen Innenraum, daneben eine kleine helle Form. Rote und dunkle Bereiche fallen auf.",Eine einzelne Figur steht in einem hellen Innenraum neben einem großen dunklen Tier. Rote Hose und kleiner weißer Vogel sind kaum sichtbar.,"Two figures sit or stand in a brown interior, beside them a small white bird. Red trousers and a dark man stand out.","Two figure-like forms are in a brown interior, beside them a small light form. Red and dark areas stand out.",A single figure stands in a light interior beside a large dark animal. Red trousers and the small white bird are barely visible.,image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
063,063.jpg,popular_panorama_0214.jpg,surrealism/popular_panorama_0214.jpg,surrealism,"Eine Landschaft mit dunklen Bäumen, Bergen und Häusern liegt unter grauem Himmel. Horizont, Wald und Gebäude bilden klare Schichten.","Eine Landschaft mit dunklen senkrechten Formen, Bergen und Häusern liegt unter grauem Himmel. Horizont und Gebäude bilden klare Schichten.",Eine helle Landschaft zeigt niedrige Büsche und offene Wiese unter blauem Himmel. Berge und Häuser sind kaum geschichtet.,"A landscape with dark trees, mountains, and houses lies under a gray sky. Horizon, forest, and buildings form clear layers.","A landscape with dark vertical forms, mountains, and houses lies under a gray sky. Horizon and buildings form clear layers.",A light landscape shows low bushes and open meadow under a blue sky. Mountains and houses are barely layered.,image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
064,064.jpg,smoker_head_0164.jpg,surrealism/smoker_head_0164.jpg,surrealism,Eine weiße vogelartige Figur mit gelber Form und rotem Körperteil steht vor hellblauem Grund. Schwarze Linien betonen Kopf und Flügel.,Eine weiße figurenartige Form mit gelbem Bereich und rotem Teil steht vor hellblauem Grund. Schwarze Linien betonen die Mitte.,Eine gelbe vogelartige Figur steht vor dunklem Grund mit kleinem weißem Flügel. Roter Körperteil und schwarze Linien liegen nur am Rand.,A white bird-like figure with yellow form and red body part stands before a light blue ground. Black lines emphasize head and wing.,A white figure-like form with a yellow area and red part stands before a light blue ground. Black lines emphasize the center.,A yellow bird-like figure stands before a dark ground with a small white wing. The red body part and black lines lie only at the edge.,image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
065,065.jpg,stilleben_med_fisk_0250.jpg,surrealism/stilleben_med_fisk_0250.jpg,surrealism,"Ein Stillleben mit Teller, Flasche, Früchten und Landschaftsausschnitt füllt das Bild. Runde Formen liegen vor hellem Fensterblick.","Ein Stillleben mit runden Formen, Flasche und Landschaftsausschnitt füllt das Bild. Mehrere Gegenstände liegen vor hellem Fensterblick.","Ein Stillleben mit wenigen eckigen Gegenständen steht vor dunkler Wand. Fensterblick, Teller und Früchte sind kaum getrennt.","A still life with plate, bottle, fruit, and landscape view fills the image. Round forms lie before a bright window view.","A still life with round forms, bottle, and landscape view fills the image. Several objects lie before a bright window view.","A still life with a few angular objects stands before a dark wall. Window view, plate, and fruit are barely separated.",image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
066,066.jpg,the_4th_day_of_the_creation_0204.jpg,surrealism/the_4th_day_of_the_creation_0204.jpg,surrealism,"Eine schwarz-weiße Landschaft zeigt strahlende Sonne, Berge und Sternenhimmel. Helle Linien führen vom Himmel in die felsige Fläche.","Eine schwarz-weiße Landschaft zeigt helle Strahlen, Berge und dunklen Himmel. Helle Linien führen in die felsige Fläche.",Eine helle Landschaft mit ruhigem Himmel zeigt niedrige Hügel ohne starke Strahlen. Sterne und schwarze Flächen sind nur schwach angedeutet.,"A black-and-white landscape shows radiant sun, mountains, and starry sky. Light lines lead from the sky into the rocky area.","A black-and-white landscape shows light rays, mountains, and dark sky. Light lines lead into the rocky area.",A bright landscape with calm sky shows low hills without strong rays. Stars and black areas are only weakly suggested.,image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
067,067.jpg,the_beneficial_promise_0270.jpg,surrealism/the_beneficial_promise_0270.jpg,surrealism,Eine Hand berührt eine runde gelbe Form auf einer Holzfläche. Darüber schwebt ein Frauenkopf in einer dunklen runden Öffnung.,Eine Hand berührt eine runde helle Form auf einer Holzfläche. Darüber schwebt eine kopfähnliche Form in dunkler Öffnung.,Eine Hand hält eine blaue runde Form vor hellem Hintergrund. Der schwebende Kopf liegt seitlich und die dunkle Öffnung ist kaum rund.,A hand touches a round yellow form on a wooden surface. Above it floats a woman's head in a dark round opening.,A hand touches a round light form on a wooden surface. Above it floats a head-like form in a dark opening.,A hand holds a blue round form before a light background. The floating head lies to the side and the dark opening is barely round.,image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
